Tijdstempel,Your name,Kappie No.,"Rate the OVERALL VISUAL APPEARANCE (bad, ok, great) (3=no opnion/neutral)","Rate the QUALITY of the FRIES (bad, ok, great) (3=no opnion/neutral)","Rate the QUANTITY of the FRIES (not enough, just right, too much) (3=no opnion/neutral)","Rate the QUALITY of the fries CRISPINESS (bad, ok, great) (3=no opnion/neutral)","Rate the QUALITY of the LETTUCE (bad, ok, great) (3=no opnion/neutral)","Rate the QUANTITY of the LETTUCE (not enough, just right, too much) (3=no opnion/neutral)","Rate the QUALITY of the MEAT (bad, ok, great) (3=no opnion/neutral)","Rate the QUANTITY of the MEAT (not enough, just right, too much) (3=no opnion/neutral)","Rate the quality of the of the MEAT SEASONING (try to not include spiciness here) (bad, ok, great) (3=no opnion/neutral)","Was there any ingredient that was particularly out of balance in terms of amount (too much, too little), flavor, or just missing?",Rate the overall quality of the kapsalon
17-2-2023 21:07:46,L,3,,3,4,3,3,4,4,4,3,Good,4
17-2-2023 21:08:02,H,5,,2,2,1,2,1,2,3,3,None,2
17-2-2023 21:08:38,B,6,,3,3,2,2,2,2,3,3,Too much sauce,3
17-2-2023 21:09:39,L,2,,4,2,3,4,2,4,2,3,Coleslaw :(,3
17-2-2023 21:10:03,H,4,,3,3,3,2,3,4,3,3,No that much lettuce,3
17-2-2023 21:11:01,L,5,,3,3,3,5,5,4,3,3,,4
17-2-2023 21:11:25,H,3,,3,3,3,2,3,5,4,4,None,4
17-2-2023 21:11:30,K,1,,3,5,3,4,2,4,1,3,,4
17-2-2023 21:12:26,L,4,3,3,4,3,3,4,5,5,4,,4
17-2-2023 21:12:42,H,2,4,3,3,3,2,3,2,3,1,It has jalapeño!,2
17-2-2023 21:13:45,B,7,2,2,2,1,2,2,3,3,4,Looks a bit sad,3
17-2-2023 21:13:51,C,1,3,3,3,4,1,2,3,3,2,Meat feels burnt,4
17-2-2023 21:14:07,K,2,5,3,3,3,4,3,4,4,4,Red lettuce one side rest on other not evenly spread,4
17-2-2023 21:14:15,E,6,4,3,4,2,4,3,4,4,4,,4
17-2-2023 21:14:16,H,1,2,2,3,3,3,2,1,2,1,None,2
17-2-2023 21:15:08,L,1,1,2,3,1,1,2,2,1,1,Shoarma :(,2
17-2-2023 21:15:34,E,7,4,2,3,1,3,4,4,3,4,,4
17-2-2023 21:15:39,H,6,4,,3,3,4,4,4,3,3,None,4
17-2-2023 21:15:41,C,2,5,3,3,3,5,5,4,3,2,No meat seasoning but good lettuce,4
17-2-2023 21:15:54,B,5,3,2,2,2,3,3,2,3,1,Meat missed seasoning,3
17-2-2023 21:16:51,E,1,1,2,3,2,3,4,,3,2,,2
17-2-2023 21:17:04,K,3,3,3,3,3,2,3,2,4,4,Good spice meat. Nothing special,3
17-2-2023 21:17:12,L,6,5,4,4,4,4,4,4,3,4,Ordered lettuce :(,4
17-2-2023 21:17:17,H,7,4,4,3,3,3,3,3,4,4,None,4
17-2-2023 21:17:20,C,3,3,3,3,3,3,3,3,3,3,Nothing,3
17-2-2023 21:18:26,B,4,3,2,2,2,4,3,2,3,2,,3
17-2-2023 21:18:45,L,7,4,4,4,4,4,4,4,4,4,,5
17-2-2023 21:18:46,K,4,1,2,3,3,2,4,1,3,1,Meat fatty. Too much juice from lettuce or tomato. Lots of cheese a good thing,2
17-2-2023 21:18:47,E,2,5,3,3,2,4,4,2,3,2,,2
17-2-2023 21:19:17,C,4,4,3,3,3,3,3,4,2,3,,3
17-2-2023 21:19:33,D,1,3,1,3,1,3,3,3,4,4,Okay,2
17-2-2023 21:20:09,C,5,,,,,,,,,,Doesn’t taste like kapsaloon,1
17-2-2023 21:20:21,K,5,3,2,3,3,2,4,2,3,1,Flavorless. Like cardboard and plastic.,1
17-2-2023 21:21:03,D,6,4,3,3,2,3,3,3,3,3,,3
17-2-2023 21:21:48,C,6,1,1,1,1,1,1,1,1,1,Worst,1
17-2-2023 21:22:21,K,7,5,3,3,3,3,3,4,3,4,"Different flavor, I like. Not traditional kapsalon in flavor and appreance",4
17-2-2023 21:23:21,D,4,4,4,3,3,3,3,3,3,3,,4
17-2-2023 21:24:05,C,7,3,3,3,3,1,1,1,1,1,I suck worst,1
17-2-2023 21:24:17,K,6,4,1,5,2,2,4,2,1,4,The meat was impossible to find!,3
17-2-2023 21:25:30,D,3,3,2,3,3,2,2,2,3,3,,3
17-2-2023 21:26:31,E,3,3,5,4,5,4,3,4,3,2,,4
17-2-2023 21:27:02,D,2,4,3,3,3,4,5,2,2,2,,2
17-2-2023 21:28:06,E,4,3,3,4,3,3,4,3,3,2,,2
17-2-2023 21:28:29,D,5,2,1,3,1,3,2,3,3,3,,2
17-2-2023 21:29:07,E,5,3,2,4,1,3,3,3,3,3,,3
17-2-2023 21:30:14,D,7,3,2,3,3,3,3,2,2,3,,3
